Assignment 1,Points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest
0,Fri Aug 26 14:02:44 EDT 2016,5.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
1,Fri Aug 26 15:23:30 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
2,Fri Aug 26 15:24:29 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
3,Fri Aug 26 15:24:48 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
4,Fri Aug 26 15:53:20 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
5,Fri Aug 26 16:01:26 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
6,Fri Aug 26 16:03:16 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
7,Fri Aug 26 16:05:17 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
8,Fri Aug 26 17:23:02 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
9,Fri Aug 26 17:26:41 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
10,Sat Aug 27 10:12:27 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
11,Sat Aug 27 17:39:05 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
12,Sat Aug 27 18:06:19 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
13,Sat Aug 27 18:12:12 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
14,Sat Aug 27 18:19:20 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
15,Sat Aug 27 18:23:00 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
